file,site,sample_rate
recover-20250127/UBNA_026/20250116_050000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_051000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_052000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_053000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_054000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_055000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_060000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_061000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_062000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_063000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_064000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_065000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_070000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_071000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_072000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_073000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_074000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_075000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_080000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_081000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_082000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_083000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_084000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_085000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_090000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_091000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_092000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_093000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_094000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_095000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_100000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_101000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_102000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_103000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_104000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_105000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_110000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_111000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_112000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_113000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250116_114000.WAV,Carp Pond,192000
